HDI rank,Country,Human Development Index (HDI) - 2021,Life expectancy at birth - 2021,Expected years of schooling - 2021,Mean years of schooling - 2021,Gross national income (GNI) per capita - 2021
154.0,Zambia,0.565,61.2,10.9,7.2,3218.0
155.0,Solomon Islands,0.564,70.3,10.3,5.7,2482.0
156.0,Comoros,0.558,63.4,11.9,5.1,3142.0
156.0,Papua New Guinea,0.558,65.4,10.4,4.7,4009.0
158.0,Mauritania,0.556,64.4,9.4,4.9,5075.0
159.0,Côte d'Ivoire,0.55,58.6,10.7,5.2,5217.0
160.0,Tanzania,0.549,66.2,9.2,6.4,2664.0
161.0,Pakistan,0.544,66.1,8.7,4.5,4624.0
162.0,Togo,0.539,61.6,13.0,5.0,2167.0
163.0,Haiti,0.535,63.2,9.7,5.6,2848.0
163.0,Nigeria,0.535,52.7,10.1,7.2,4790.0
165.0,Rwanda,0.534,66.1,11.2,4.4,2210.0
166.0,Benin,0.525,59.8,10.8,4.3,3409.0
166.0,Uganda,0.525,62.7,10.1,5.7,2181.0
168.0,Lesotho,0.514,53.1,12.0,6.0,2700.0
169.0,Malawi,0.512,62.9,12.7,4.5,1466.0
170.0,Senegal,0.511,67.1,9.0,2.9,3344.0
171.0,Djibouti,0.509,62.3,7.4,4.1,5025.0
172.0,Sudan,0.508,65.3,7.9,3.8,3575.0
173.0,Madagascar,0.501,64.5,10.1,5.1,1484.0
174.0,Gambia,0.5,62.1,9.4,4.6,2172.0
175.0,Ethiopia,0.498,65.0,9.7,3.2,2361.0
176.0,Eritrea,0.492,66.5,8.1,4.9,1729.0
177.0,Guinea-Bissau,0.483,59.7,10.6,3.6,1908.0
178.0,Liberia,0.481,60.7,10.4,5.1,1289.0
179.0,DR Congo,0.479,59.2,9.8,7.0,1076.0
180.0,Afghanistan,0.478,62.0,10.3,3.0,1824.0
181.0,Sierra Leone,0.477,60.1,9.6,4.6,1622.0
182.0,Guinea,0.465,58.9,9.8,2.2,2481.0
183.0,Yemen,0.455,63.8,9.1,3.2,1314.0
184.0,Burkina Faso,0.449,59.3,9.1,2.1,2118.0
185.0,Mozambique,0.446,59.3,10.2,3.2,1198.0
186.0,Mali,0.428,58.9,7.4,2.3,2133.0
187.0,Burundi,0.426,61.7,10.7,3.1,732.0
188.0,Central African Republic,0.404,53.9,8.0,4.3,966.0
189.0,Niger,0.4,61.6,7.0,2.1,1240.0
190.0,Chad,0.394,52.5,8.0,2.6,1364.0
191.0,South Sudan,0.385,55.0,5.5,5.7,768.0
